2023-06-20 09:16:31,185 INFO    StreamThr :1945466 [internal.py:wandb_internal():86] W&B internal server running at pid: 1945466, started at: 2023-06-20 09:16:31.185243
2023-06-20 09:16:31,253 DEBUG   HandlerThread:1945466 [system_monitor.py:probe():210] {'os': 'Linux-5.19.0-43-generic-x86_64-with-glibc2.35', 'python': '3.10.11', 'heartbeatAt': '2023-06-20T01:16:31.251349', 'startedAt': '2023-06-20T01:16:31.182564', 'docker': None, 'cuda': None, 'args': ('--local_rank=0', '--deepspeed', '--deepspeed_config', 'deepspeed.json'), 'state': 'running', 'program': '/disk/models/Bloom-Lora/trainer/deepspeed_finetune_lora.py', 'codePath': 'trainer/deepspeed_finetune_lora.py', 'git': {'remote': 'https://github.com/Macielyoung/Bloom-Lora.git', 'commit': '3f715ad07e4d356913ca0270ba825dbbfe6ae748'}, 'email': None, 'root': '/disk/models/Bloom-Lora', 'host': 'king-System-Product-Name', 'username': 'root', 'executable': '/disk/miniconda3/envs/seanc/bin/python', 'cpu_count': 24, 'cpu_count_logical': 32, 'cpu_freq': {'current': 3824.2825312500004, 'min': 800.0, 'max': 4937.5}, 'cpu_freq_per_core': [{'current': 5500.0, 'min': 800.0, 'max': 5500.0}, {'current': 5506.823, 'min': 800.0, 'max': 5500.0}, {'current': 5500.463, 'min': 800.0, 'max': 5500.0}, {'current': 3000.0, 'min': 800.0, 'max': 5500.0}, {'current': 5501.23, 'min': 800.0, 'max': 5500.0}, {'current': 3000.0, 'min': 800.0, 'max': 5500.0}, {'current': 3000.0, 'min': 800.0, 'max': 5500.0}, {'current': 3000.0, 'min': 800.0, 'max': 5500.0}, {'current': 5500.983, 'min': 800.0, 'max': 5800.0}, {'current': 5500.0, 'min': 800.0, 'max': 5800.0}, {'current': 5500.107, 'min': 800.0, 'max': 5800.0}, {'current': 3000.0, 'min': 800.0, 'max': 5800.0}, {'current': 5500.0, 'min': 800.0, 'max': 5500.0}, {'current': 3000.0, 'min': 800.0, 'max': 5500.0}, {'current': 5499.907, 'min': 800.0, 'max': 5500.0}, {'current': 5500.0, 'min': 800.0, 'max': 5500.0}, {'current': 4289.425, 'min': 800.0, 'max': 4300.0}, {'current': 3000.0, 'min': 800.0, 'max': 4300.0}, {'current': 3000.0, 'min': 800.0, 'max': 4300.0}, {'current': 3000.0, 'min': 800.0, 'max': 4300.0}, {'current': 3000.0, 'min': 800.0, 'max': 4300.0}, {'current': 3000.0, 'min': 800.0, 'max': 4300.0}, {'current': 3000.0, 'min': 800.0, 'max': 4300.0}, {'current': 3000.0, 'min': 800.0, 'max': 4300.0}, {'current': 3000.0, 'min': 800.0, 'max': 4300.0}, {'current': 3000.0, 'min': 800.0, 'max': 4300.0}, {'current': 3000.0, 'min': 800.0, 'max': 4300.0}, {'current': 3000.0, 'min': 800.0, 'max': 4300.0}, {'current': 3000.0, 'min': 800.0, 'max': 4300.0}, {'current': 3000.0, 'min': 800.0, 'max': 4300.0}, {'current': 3000.0, 'min': 800.0, 'max': 4300.0}, {'current': 3000.0, 'min': 800.0, 'max': 4300.0}], 'disk': {'total': 108.98257827758789, 'used': 75.69948959350586}, 'gpu': 'NVIDIA GeForce RTX 4090', 'gpu_count': 2, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 4090', 'memory_total': 25757220864}, {'name': 'NVIDIA GeForce RTX 4090', 'memory_total': 25757220864}], 'memory': {'total': 125.61557388305664}}
2023-06-20 09:16:31,253 INFO    HandlerThread:1945466 [system_monitor.py:probe():211] Finished collecting system info
2023-06-20 09:16:31,253 INFO    HandlerThread:1945466 [system_monitor.py:probe():214] Publishing system info
2023-06-20 09:16:31,253 DEBUG   HandlerThread:1945466 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-06-20 09:16:31,253 DEBUG   HandlerThread:1945466 [system_info.py:_save_pip():67] Saving pip packages done
2023-06-20 09:16:31,253 DEBUG   HandlerThread:1945466 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
2023-06-20 09:16:32,430 DEBUG   HandlerThread:1945466 [system_info.py:_save_conda():86] Saving conda packages done
2023-06-20 09:16:32,430 INFO    HandlerThread:1945466 [system_monitor.py:probe():216] Finished publishing system info
2023-06-20 09:16:36,188 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:16:36,188 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:16:41,204 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:16:41,204 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:16:46,221 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:16:46,222 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:16:51,234 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:16:51,235 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:16:56,236 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:16:56,236 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:17:01,237 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:17:01,238 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:17:06,239 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:17:06,239 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:17:11,240 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:17:11,240 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:17:16,241 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:17:16,242 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:17:21,245 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:17:21,245 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:17:26,246 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:17:26,246 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:17:31,238 DEBUG   SystemMonitor:1945466 [system_monitor.py:_start():159] Starting system metrics aggregation loop
2023-06-20 09:17:31,252 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:17:31,252 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:17:36,254 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:17:36,254 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:17:41,256 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:17:41,256 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:17:46,257 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:17:46,257 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:17:51,258 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:17:51,259 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:17:56,260 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:17:56,260 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:18:01,263 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:18:01,263 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:18:06,264 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:18:06,264 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:18:11,265 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:18:11,266 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:18:16,267 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:18:16,267 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:18:21,271 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:18:21,272 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
2023-06-20 09:18:26,273 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status_report
2023-06-20 09:18:26,273 DEBUG   SenderThread:1945466 [sender.py:send_request():396] send_request: status_report
